FID,OBJECTID,OM,YR,MO,DY,DATE,TIME,TZ,ST,STF,STN,MAG,INJ,FAT,LOSS,CLOSS,SLAT,SLON,ELAT,ELON,LEN,WID,Shape_Leng
12987,57084,427844,2013,1,10,2013-01-10,05:30:00,3,LA,22,0,1,0,0,0.2,0.0,30.265,-91.901,30.288,-91.879,2.06,50,0.031827668
12988,57085,427843,2013,1,10,2013-01-10,05:51:00,3,LA,22,0,1,0,0,0.1,0.0,29.952,-91.779,30.026,-91.744,5.53,50,0.081859655
13974,57086,428684,2013,1,10,2013-01-10,07:35:00,3,LA,22,0,0,0,0,0.015,0.0,30.2757,-91.2112,30.2757,-91.2112,0.3,100,0
11971,57088,419553,2013,1,12,2013-01-12,23:30:00,3,LA,22,0,1,2,0,0.12,0.0,32.1843,-93.5888,32.2565,-93.5032,7.06,300,0.11198306
26956,57087,422504,2013,1,12,2013-01-12,15:18:00,3,KY,21,0,2,0,0,0.1,0.0,37.2784,-88.3739,37.2958,-88.3489,1.83,200,0.03045916
12989,57089,430076,2013,1,13,2013-01-13,12:15:00,3,LA,22,0,1,0,0,0.1,0.0,30.255,-91.828,30.257,-91.822,0.38,25,0.006324556
13975,57090,428700,2013,1,13,2013-01-13,13:19:00,3,LA,22,0,0,0,0,0.04,0.0,30.6496,-91.1972,30.7651,-91.0451,12.46,40,0.190983449
14985,57092,428702,2013,1,13,2013-01-13,16:45:00,3,MS,28,0,1,0,0,0.04,0.0,30.8123,-89.5046,30.8252,-89.4967,1.0,150,0.015126801
15990,57093,431498,2013,1,13,2013-01-13,18:15:00,3,MS,28,0,1,0,0,0.1,0.0,31.5899,-88.5258,31.6265,-88.4884,3.35,200,0.052328972
25955,57091,428322,2013,1,13,2013-01-13,15:36:00,3,TN,47,0,0,0,0,0.025,0.01,35.7164,-86.6692,35.7199,-86.6412,1.59,100,0.028217909
9998,57102,423332,2013,1,29,2013-01-29,18:15:00,3,TX,48,0,0,0,0,0.005,0.0,32.6993,-95.5502,32.7014,-95.5481,0.19,325,0.002969849
12990,57104,422562,2013,1,29,2013-01-29,20:01:00,3,AR,5,0,0,0,0,0.01,0.0,34.4992,-92.1013,34.5474,-92.03,5.25,50,0.086063544
12991,57107,422560,2013,1,29,2013-01-29,20:51:00,3,AR,5,0,0,0,0,0.02,0.0,33.6486,-91.7432,33.6746,-91.6896,3.57,50,0.059573163
13976,57103,424060,2013,1,29,2013-01-29,18:48:00,3,MS,28,0,0,0,0,0.005,0.0,33.59,-91.02,33.5938,-91.0137,0.45,50,0.007357312
13977,57110,424161,2013,1,29,2013-01-29,21:36:00,3,LA,22,0,2,0,0,0.25,0.0,32.73,-91.57,32.7966,-91.5223,5.37,100,0.081919795
13978,57113,424168,2013,1,29,2013-01-29,23:10:00,3,MS,28,0,1,0,0,0.175,0.0,33.68,-90.8,33.7515,-90.7567,5.53,150,0.083589132
27969,57111,428114,2013,1,29,2013-01-29,21:38:00,3,IL,17,0,0,0,0,0.0,0.0,37.97,-89.11,37.9764,-89.1032,0.58,75,0.009338095
27970,57112,424803,2013,1,29,2013-01-29,22:16:00,3,IL,17,0,2,2,0,0.2,0.0,37.8424,-88.6174,37.8478,-88.6009,0.97,125,0.017361168
27971,57114,424825,2013,1,29,2013-01-29,23:36:00,3,KY,21,0,0,0,0,0.025,0.0,36.5927,-88.4261,36.5998,-88.389,2.12,100,0.03777328
28974,57105,424851,2013,1,29,2013-01-29,20:14:00,3,MO,29,0,1,0,0,0.1,0.0,36.6933,-90.7598,36.6936,-90.755,0.27,100,0.004809367
28975,57106,424852,2013,1,29,2013-01-29,20:45:00,3,MO,29,0,2,0,0,0.06,0.0,36.76,-90.26,36.7939,-90.2156,3.39,100,0.055862074
